regime,target_ai,true_ai,golden_cap_w,golden_runtime_s,golden_power_w,golden_energy_j,golden_deg_pct,golden_energy_saved_pct,achieved_bw_gbs,baseline_cap_w,baseline_runtime_s,baseline_power_w,baseline_energy_j,is_saturated
L2,0.0,0.0,230,1.7586351318359374,180.37739655172416,317.2180265649646,2.5473662886455584,17.25419080899831,2723.39547509438,250,1.7149490966796874,223.54276470588238,383.3644624016329,False
L2,10.0,10.0,250,4.44845556640625,225.68066136363635,1003.930394273312,0.0,0.0,1794.4728924607168,250,4.44845556640625,225.68066136363635,1003.930394273312,True
L2,20.0,20.0,240,3.688500244140625,216.22187671232876,797.5344450419688,1.8552874069703407,3.889180794882231,1271.7933974243094,250,3.621314453125,229.14528851540618,829.8071451663385,False
L2,30.0,30.0,230,3.757221923828125,206.08635040431273,774.3121539408089,3.702104192522704,3.9275858458074744,1016.3614941065928,250,3.62309130859375,222.45291086350974,805.9672079209623,False
L2,40.0,40.0,230,3.60928369140625,210.9879297752809,761.5152940214884,3.9391574950085717,3.4571375348468933,819.1788256267631,250,3.47249658203125,227.1520348837209,788.784664735164,False
L2,50.0,50.0,240,3.84837841796875,211.6103937007874,814.3568721359806,1.9579167464141456,5.12553220004656,732.8847310313812,250,3.774477294921875,227.40949597855231,858.3519792206731,False
L2,60.0,60.0,230,3.797118896484375,204.0162860962567,774.6740951266587,3.650568871918791,9.956262507339542,615.0864123644938,250,3.663384521484375,234.84591712707177,860.330897737117,False
L2,70.0,70.0,230,3.831291748046875,204.99786015831137,785.4066099918056,3.8262625420577123,7.8924304732210055,551.5434606903099,250,3.690098876953125,231.079397260274,852.7058243171421,False
L2,80.0,80.0,250,3.569151123046875,223.24915864022657,796.8099852800347,0.0,0.0,512.3767628171631,250,3.569151123046875,223.24915864022657,796.8099852800347,True
L2,90.0,90.0,250,3.81376416015625,231.92154111405836,884.4940614689999,0.0,0.0,465.94626454699176,250,3.81376416015625,231.92154111405836,884.4940614689999,True
L2,100.0,100.0,250,3.806562255859375,231.07236170212767,879.5913304276046,0.0,0.0,424.73671591717914,250,3.806562255859375,231.07236170212767,879.5913304276046,True
