second,elapsed_s,timestamp,power_w,cum_energy_j,gpu_clock_mhz,gpu_temp_c,power_cap_w,target_ai,true_ai,achieved_ai,achieved_bw_gbs,achieved_tflops,perf_deg_pct,energy_saved_pct
1,1.0,2026-09-20 02:03:00,237.49,237.55,2040,81,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
2,2.0,2026-09-20 02:03:01,230.0,467.59,2040,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
3,3.0,2026-09-20 02:03:02,229.98,697.61,2040,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
4,4.0,2026-09-20 02:03:03,230.0,927.67,2025,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
5,5.0,2026-09-20 02:03:04,229.81,1157.52,2025,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
6,6.0,2026-09-20 02:03:05,229.69,1387.25,2010,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
7,7.0,2026-09-20 02:03:06,229.7,1616.99,2010,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
8,8.0,2026-09-20 02:03:07,229.75,1846.79,2010,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
9,9.0,2026-09-20 02:03:08,229.77,2076.6,2010,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
10,10.0,2026-09-20 02:03:09,229.76,2306.4,2010,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
11,11.0,2026-09-20 02:03:10,229.89,2536.34,2010,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
12,12.0,2026-09-20 02:03:11,229.84,2766.25,2025,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
13,13.0,2026-09-20 02:03:12,229.6,2995.92,1995,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
14,14.0,2026-09-20 02:03:13,229.66,3225.62,2010,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
15,15.0,2026-09-20 02:03:14,229.76,3455.44,1995,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
16,16.0,2026-09-20 02:03:15,229.84,3685.35,1980,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
17,17.0,2026-09-20 02:03:16,229.82,3915.22,1995,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
18,18.0,2026-09-20 02:03:17,229.87,4145.13,1980,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
19,19.0,2026-09-20 02:03:18,229.83,4375.01,1980,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
20,20.0,2026-09-20 02:03:19,229.67,4604.73,2010,81,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
21,21.0,2026-09-20 02:03:20,229.55,4834.35,2010,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
22,22.0,2026-09-20 02:03:21,229.61,5064.01,2010,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
23,23.01,2026-09-20 02:03:22,229.84,5293.91,1995,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
24,24.01,2026-09-20 02:03:23,229.82,5523.77,1995,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
25,25.01,2026-09-20 02:03:24,229.69,5753.5,2010,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
26,26.01,2026-09-20 02:03:25,229.71,5983.25,1995,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
27,27.01,2026-09-20 02:03:26,229.51,6212.81,1995,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
28,28.01,2026-09-20 02:03:27,229.81,6442.67,1965,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
29,29.01,2026-09-20 02:03:28,229.53,6672.26,1995,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
30,30.01,2026-09-20 02:03:29,229.71,6902.01,2010,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
31,31.01,2026-09-20 02:03:30,229.83,7131.89,1980,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
32,32.01,2026-09-20 02:03:31,229.81,7361.75,1995,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
33,33.01,2026-09-20 02:03:32,229.76,7591.58,1995,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
34,34.01,2026-09-20 02:03:33,229.87,7821.5,1965,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
35,35.01,2026-09-20 02:03:34,229.8,8051.34,1995,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
36,36.01,2026-09-20 02:03:35,229.8,8281.18,1995,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
37,37.01,2026-09-20 02:03:36,229.81,8511.03,1995,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
38,38.01,2026-09-20 02:03:37,229.68,8740.77,1995,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
39,39.01,2026-09-20 02:03:38,229.44,8970.27,1995,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
40,40.01,2026-09-20 02:03:39,229.5,9199.81,1995,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
41,41.01,2026-09-20 02:03:40,229.48,9429.33,1980,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
42,42.01,2026-09-20 02:03:41,229.38,9658.76,1995,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
43,43.01,2026-09-20 02:03:42,229.51,9888.31,1995,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
44,44.01,2026-09-20 02:03:43,229.57,10117.92,1995,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
45,45.01,2026-09-20 02:03:44,229.37,10347.35,1995,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
46,46.01,2026-09-20 02:03:45,229.32,10576.71,1980,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
47,47.01,2026-09-20 02:03:46,229.46,10806.22,1995,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
48,48.01,2026-09-20 02:03:47,229.71,11035.98,1980,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
49,49.01,2026-09-20 02:03:48,229.52,11265.54,1995,82,230,50.0,50.0,50.0,460.44,23.02,0.71,6.92
