second,elapsed_s,timestamp,power_w,cum_energy_j,gpu_clock_mhz,gpu_temp_c,power_cap_w,target_ai,true_ai,achieved_ai,achieved_bw_gbs,achieved_tflops,perf_deg_pct,energy_saved_pct
1,1.0,2026-09-20 02:01:39,244.85,244.89,2130,82,240,50.0,50.0,50.0,463.7,23.19,0.0,3.79
2,2.0,2026-09-20 02:01:40,239.72,484.65,2115,82,240,50.0,50.0,50.0,463.7,23.19,0.0,3.79
3,3.0,2026-09-20 02:01:41,240.26,724.95,2085,82,240,50.0,50.0,50.0,463.7,23.19,0.0,3.79
4,4.0,2026-09-20 02:01:42,239.63,964.63,2115,82,240,50.0,50.0,50.0,463.7,23.19,0.0,3.79
5,5.0,2026-09-20 02:01:43,240.04,1204.74,2085,82,240,50.0,50.0,50.0,463.7,23.19,0.0,3.79
6,6.0,2026-09-20 02:01:44,240.15,1444.93,2085,82,240,50.0,50.0,50.0,463.7,23.19,0.0,3.79
7,7.0,2026-09-20 02:01:45,239.53,1684.51,2115,82,240,50.0,50.0,50.0,463.7,23.19,0.0,3.79
8,8.0,2026-09-20 02:01:46,239.95,1924.52,2100,83,240,50.0,50.0,50.0,463.7,23.19,0.0,3.79
9,9.0,2026-09-20 02:01:47,240.16,2164.73,2085,82,240,50.0,50.0,50.0,463.7,23.19,0.0,3.79
10,10.0,2026-09-20 02:01:48,240.2,2405.0,2055,83,240,50.0,50.0,50.0,463.7,23.19,0.0,3.79
11,11.0,2026-09-20 02:01:49,240.16,2645.2,2055,83,240,50.0,50.0,50.0,463.7,23.19,0.0,3.79
12,12.0,2026-09-20 02:01:50,239.76,2885.01,2055,83,240,50.0,50.0,50.0,463.7,23.19,0.0,3.79
13,13.0,2026-09-20 02:01:51,239.61,3124.69,2055,82,240,50.0,50.0,50.0,463.7,23.19,0.0,3.79
14,14.0,2026-09-20 02:01:52,239.87,3364.61,2070,82,240,50.0,50.0,50.0,463.7,23.19,0.0,3.79
15,15.0,2026-09-20 02:01:53,239.85,3604.5,2055,82,240,50.0,50.0,50.0,463.7,23.19,0.0,3.79
16,16.0,2026-09-20 02:01:54,239.98,3844.53,2070,82,240,50.0,50.0,50.0,463.7,23.19,0.0,3.79
17,17.0,2026-09-20 02:01:55,239.34,4083.94,2085,82,240,50.0,50.0,50.0,463.7,23.19,0.0,3.79
18,18.0,2026-09-20 02:01:56,239.65,4323.67,2085,82,240,50.0,50.0,50.0,463.7,23.19,0.0,3.79
19,19.0,2026-09-20 02:01:57,239.46,4563.19,2040,82,240,50.0,50.0,50.0,463.7,23.19,0.0,3.79
20,20.0,2026-09-20 02:01:58,239.44,4802.68,2055,83,240,50.0,50.0,50.0,463.7,23.19,0.0,3.79
