second,elapsed_s,timestamp,power_w,cum_energy_j,gpu_clock_mhz,gpu_temp_c,power_cap_w,target_ai,true_ai,achieved_ai,achieved_bw_gbs,achieved_tflops,perf_deg_pct,energy_saved_pct
1,1.0,2026-09-18 18:49:15,190.06,190.08,1335,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
2,2.0,2026-09-18 18:49:16,180.57,370.68,885,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
3,3.0,2026-09-18 18:49:17,180.48,551.2,870,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
4,4.0,2026-09-18 18:49:18,180.41,731.65,870,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
5,5.0,2026-09-18 18:49:19,180.31,911.99,855,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
6,6.0,2026-09-18 18:49:20,179.96,1091.99,855,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
7,7.0,2026-09-18 18:49:21,180.22,1272.24,840,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
8,8.0,2026-09-18 18:49:22,179.96,1452.24,855,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
9,9.0,2026-09-18 18:49:23,180.07,1632.35,840,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
10,10.0,2026-09-18 18:49:24,180.04,1812.44,840,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
11,11.0,2026-09-18 18:49:25,180.03,1992.51,825,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
12,12.0,2026-09-18 18:49:26,180.06,2172.61,840,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
13,13.0,2026-09-18 18:49:27,180.03,2352.69,840,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
14,14.0,2026-09-18 18:49:28,180.05,2532.8,840,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
15,15.0,2026-09-18 18:49:29,180.04,2712.89,825,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
16,16.0,2026-09-18 18:49:30,180.04,2892.97,825,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
17,17.0,2026-09-18 18:49:31,180.0,3073.01,840,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
18,18.0,2026-09-18 18:49:32,180.03,3253.09,840,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
19,19.0,2026-09-18 18:49:33,180.05,3433.17,840,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
20,20.0,2026-09-18 18:49:34,180.11,3613.31,825,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
21,21.0,2026-09-18 18:49:35,179.99,3793.35,825,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
22,22.01,2026-09-18 18:49:36,179.97,3973.37,825,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
23,23.01,2026-09-18 18:49:37,179.97,4153.37,825,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
24,24.01,2026-09-18 18:49:38,179.94,4333.34,840,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
25,25.01,2026-09-18 18:49:39,179.97,4513.34,840,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
26,26.01,2026-09-18 18:49:40,180.03,4693.41,840,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
27,27.01,2026-09-18 18:49:41,180.06,4873.53,825,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
28,28.01,2026-09-18 18:49:42,180.01,5053.6,840,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
29,29.01,2026-09-18 18:49:43,179.99,5233.63,825,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
30,30.01,2026-09-18 18:49:44,179.97,5413.65,840,73,180,30.0,30.0,30.0,431.97,12.96,7.99,21.9
