second,elapsed_s,timestamp,power_w,cum_energy_j,gpu_clock_mhz,gpu_temp_c,power_cap_w,target_ai,true_ai,achieved_ai,achieved_bw_gbs,achieved_tflops,perf_deg_pct,energy_saved_pct
1,1.0,2026-09-19 21:09:58,239.5,239.52,2220,75,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
2,2.0,2026-09-19 21:09:59,249.66,489.23,2205,76,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
3,3.0,2026-09-19 21:10:00,250.39,739.66,2190,77,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
4,4.0,2026-09-19 21:10:01,250.49,990.21,2175,77,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
5,5.0,2026-09-19 21:10:02,250.22,1240.47,2175,78,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
6,6.0,2026-09-19 21:10:03,249.81,1490.33,2175,79,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
7,7.0,2026-09-19 21:10:04,249.9,1740.28,2175,79,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
8,8.0,2026-09-19 21:10:05,250.01,1990.34,2175,80,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
9,9.0,2026-09-19 21:10:06,249.92,2240.34,2175,80,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
10,10.0,2026-09-19 21:10:07,249.96,2490.36,2160,80,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
11,11.0,2026-09-19 21:10:08,249.76,2740.18,2175,81,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
12,12.0,2026-09-19 21:10:09,249.63,2989.88,2160,81,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
13,13.0,2026-09-19 21:10:10,249.91,3239.83,2160,82,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
14,14.0,2026-09-19 21:10:11,249.54,3489.44,2175,82,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
15,15.0,2026-09-19 21:10:12,250.04,3739.52,2145,82,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
16,16.0,2026-09-19 21:10:13,249.77,3989.34,2160,82,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
17,17.0,2026-09-19 21:10:14,249.64,4239.02,2145,82,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
18,18.0,2026-09-19 21:10:15,249.41,4488.51,2130,82,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
19,19.0,2026-09-19 21:10:16,249.23,4737.79,2130,83,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
20,20.0,2026-09-19 21:10:17,249.17,4987.0,2145,83,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
21,21.0,2026-09-19 21:10:18,249.1,5236.16,2145,83,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
22,22.0,2026-09-19 21:10:19,249.05,5485.28,2130,83,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
23,23.0,2026-09-19 21:10:20,248.64,5733.96,2160,83,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
24,24.01,2026-09-19 21:10:21,249.82,5983.84,2130,84,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
25,25.01,2026-09-19 21:10:22,249.28,6233.18,2145,84,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
26,26.01,2026-09-19 21:10:23,249.28,6482.5,2145,84,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
27,27.01,2026-09-19 21:10:24,249.06,6731.62,2145,84,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
28,28.01,2026-09-19 21:10:25,249.21,6980.88,2145,84,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
29,29.01,2026-09-19 21:10:26,249.03,7229.95,2145,84,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
30,30.01,2026-09-19 21:10:27,249.18,7479.19,2145,84,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
31,31.01,2026-09-19 21:10:28,249.34,7728.57,2145,84,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
32,32.01,2026-09-19 21:10:29,248.99,7977.6,2145,85,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
33,33.01,2026-09-19 21:10:30,249.6,8227.25,2145,85,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
34,34.01,2026-09-19 21:10:31,249.51,8476.8,2130,85,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
35,35.01,2026-09-19 21:10:32,249.42,8726.26,2130,85,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
36,36.01,2026-09-19 21:10:33,249.36,8975.68,2145,85,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
37,37.01,2026-09-19 21:10:34,249.19,9224.91,2160,85,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
38,38.01,2026-09-19 21:10:35,249.4,9474.35,2145,85,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
39,39.01,2026-09-19 21:10:36,249.23,9723.65,2145,85,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
40,40.01,2026-09-19 21:10:37,249.37,9973.09,2145,85,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
41,41.01,2026-09-19 21:10:38,249.18,10222.33,2145,85,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
42,42.01,2026-09-19 21:10:39,249.05,10471.42,2145,85,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
43,43.01,2026-09-19 21:10:40,249.4,10720.87,2145,85,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
44,44.01,2026-09-19 21:10:41,249.56,10970.48,2160,86,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
45,45.01,2026-09-19 21:10:42,249.67,11220.22,2145,86,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
46,46.01,2026-09-19 21:10:43,249.65,11469.91,2145,86,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
47,47.01,2026-09-19 21:10:44,249.74,11719.7,2145,86,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
48,48.01,2026-09-19 21:10:45,249.71,11969.45,2145,86,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
49,49.01,2026-09-19 21:10:46,249.73,12219.24,2145,86,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
50,50.01,2026-09-19 21:10:47,249.75,12469.03,2145,86,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
51,51.01,2026-09-19 21:10:48,249.79,12718.87,2145,86,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
52,52.01,2026-09-19 21:10:49,249.72,12968.64,2130,86,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
53,53.01,2026-09-19 21:10:50,249.77,13218.47,2130,86,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
54,54.01,2026-09-19 21:10:51,249.72,13468.23,2130,86,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
55,55.01,2026-09-19 21:10:52,249.68,13717.97,2130,86,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
56,56.01,2026-09-19 21:10:53,249.66,13967.71,2130,86,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
57,57.01,2026-09-19 21:10:54,249.66,14217.42,2145,86,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
58,58.01,2026-09-19 21:10:55,249.68,14467.15,2130,86,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
59,59.01,2026-09-19 21:10:56,249.78,14717.01,2130,86,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
60,60.01,2026-09-19 21:10:57,249.67,14966.73,2130,86,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
61,61.01,2026-09-19 21:10:58,249.69,15216.48,2130,86,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
62,62.01,2026-09-19 21:10:59,249.67,15466.19,2130,86,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
63,63.01,2026-09-19 21:11:00,249.71,15715.95,2130,86,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
64,64.01,2026-09-19 21:11:01,249.56,15965.58,2145,87,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
65,65.01,2026-09-19 21:11:02,249.71,16215.33,2145,87,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
66,66.01,2026-09-19 21:11:03,249.98,16465.37,2130,87,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
67,67.01,2026-09-19 21:11:04,249.97,16715.42,2130,87,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
68,68.01,2026-09-19 21:11:05,249.67,16965.13,2130,87,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
69,69.01,2026-09-19 21:11:06,249.69,17214.87,2130,87,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
70,70.02,2026-09-19 21:11:07,249.59,17464.52,2145,86,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
71,71.02,2026-09-19 21:11:08,249.51,17714.07,2145,87,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
72,72.02,2026-09-19 21:11:09,249.65,17963.79,2145,87,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
73,73.02,2026-09-19 21:11:10,249.63,18213.47,2145,87,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
74,74.02,2026-09-19 21:11:11,249.79,18463.32,2130,87,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
75,75.02,2026-09-19 21:11:12,249.78,18713.15,2130,87,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
76,76.02,2026-09-19 21:11:13,249.75,18962.96,2145,87,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
77,77.02,2026-09-19 21:11:14,249.63,19212.64,2145,87,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
78,78.02,2026-09-19 21:11:15,250.05,19462.75,2130,87,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
79,79.02,2026-09-19 21:11:16,249.74,19712.53,2130,87,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
80,80.02,2026-09-19 21:11:17,249.65,19962.23,2145,87,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
81,81.02,2026-09-19 21:11:18,249.77,20212.05,2145,87,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
82,82.02,2026-09-19 21:11:19,249.91,20462.0,2145,87,250,50.0,50.0,50.0,730.0,36.5,0.0,0.0
