second,elapsed_s,timestamp,power_w,cum_energy_j,gpu_clock_mhz,gpu_temp_c,power_cap_w,target_ai,true_ai,achieved_ai,achieved_bw_gbs,achieved_tflops,perf_deg_pct,energy_saved_pct
1,1.0,2026-09-19 21:14:28,223.96,224.02,1995,83,220,50.0,50.0,50.0,692.94,34.65,5.35,7.04
2,2.0,2026-09-19 21:14:29,219.79,443.86,2010,83,220,50.0,50.0,50.0,692.94,34.65,5.35,7.04
3,3.0,2026-09-19 21:14:30,219.69,663.61,2025,83,220,50.0,50.0,50.0,692.94,34.65,5.35,7.04
4,4.0,2026-09-19 21:14:31,219.57,883.22,2040,83,220,50.0,50.0,50.0,692.94,34.65,5.35,7.04
5,5.0,2026-09-19 21:14:32,219.6,1102.89,2040,83,220,50.0,50.0,50.0,692.94,34.65,5.35,7.04
6,6.0,2026-09-19 21:14:33,219.61,1322.54,2040,83,220,50.0,50.0,50.0,692.94,34.65,5.35,7.04
7,7.0,2026-09-19 21:14:34,219.58,1542.16,2040,83,220,50.0,50.0,50.0,692.94,34.65,5.35,7.04
8,8.0,2026-09-19 21:14:35,219.74,1761.93,2040,83,220,50.0,50.0,50.0,692.94,34.65,5.35,7.04
9,9.0,2026-09-19 21:14:36,219.74,1981.71,2025,83,220,50.0,50.0,50.0,692.94,34.65,5.35,7.04
10,10.0,2026-09-19 21:14:37,219.71,2201.48,2040,83,220,50.0,50.0,50.0,692.94,34.65,5.35,7.04
11,11.0,2026-09-19 21:14:38,219.77,2421.29,2040,83,220,50.0,50.0,50.0,692.94,34.65,5.35,7.04
12,12.0,2026-09-19 21:14:39,219.76,2641.09,2025,83,220,50.0,50.0,50.0,692.94,34.65,5.35,7.04
13,13.0,2026-09-19 21:14:40,219.81,2860.94,2025,83,220,50.0,50.0,50.0,692.94,34.65,5.35,7.04
14,14.0,2026-09-19 21:14:41,219.73,3080.71,2025,83,220,50.0,50.0,50.0,692.94,34.65,5.35,7.04
15,15.0,2026-09-19 21:14:42,219.63,3300.39,2040,83,220,50.0,50.0,50.0,692.94,34.65,5.35,7.04
