second,elapsed_s,timestamp,power_w,cum_energy_j,gpu_clock_mhz,gpu_temp_c,power_cap_w,target_ai,true_ai,achieved_ai,achieved_bw_gbs,achieved_tflops,perf_deg_pct,energy_saved_pct
1,1.0,2026-09-19 05:11:30,157.12,157.14,1290,73,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
2,2.0,2026-09-19 05:11:31,150.31,307.48,1335,73,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
3,3.0,2026-09-19 05:11:32,150.24,457.75,1335,73,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
4,4.0,2026-09-19 05:11:33,150.22,608.01,1365,73,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
5,5.0,2026-09-19 05:11:34,150.26,758.3,1365,73,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
6,6.0,2026-09-19 05:11:35,150.26,908.6,1365,73,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
7,7.0,2026-09-19 05:11:36,150.16,1058.79,1380,73,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
8,8.0,2026-09-19 05:11:37,150.19,1209.01,1365,73,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
9,9.0,2026-09-19 05:11:38,150.21,1359.25,1365,73,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
10,10.0,2026-09-19 05:11:39,150.21,1509.48,1365,73,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
11,11.0,2026-09-19 05:11:40,150.19,1659.7,1365,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
12,12.0,2026-09-19 05:11:41,150.19,1809.92,1365,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
13,13.0,2026-09-19 05:11:42,150.19,1960.14,1365,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
14,14.0,2026-09-19 05:11:43,150.18,2110.35,1365,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
15,15.0,2026-09-19 05:11:44,150.16,2260.55,1365,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
16,16.0,2026-09-19 05:11:45,150.15,2410.74,1365,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
17,17.0,2026-09-19 05:11:46,150.13,2560.92,1350,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
18,18.0,2026-09-19 05:11:47,150.13,2711.07,1350,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
19,19.0,2026-09-19 05:11:48,150.07,2861.18,1350,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
20,20.0,2026-09-19 05:11:49,150.03,3011.24,1350,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
21,21.0,2026-09-19 05:11:50,150.03,3161.3,1350,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
22,22.0,2026-09-19 05:11:51,150.03,3311.37,1335,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
23,23.0,2026-09-19 05:11:52,150.13,3461.53,1335,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
24,24.01,2026-09-19 05:11:53,150.03,3611.61,1335,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
25,25.01,2026-09-19 05:11:54,150.05,3761.7,1335,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
26,26.01,2026-09-19 05:11:55,150.07,3911.81,1335,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
27,27.01,2026-09-19 05:11:56,150.08,4061.94,1335,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
28,28.01,2026-09-19 05:11:57,150.06,4212.04,1335,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
29,29.01,2026-09-19 05:11:58,150.08,4362.15,1335,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
30,30.01,2026-09-19 05:11:59,150.08,4512.27,1350,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
31,31.01,2026-09-19 05:12:00,150.13,4662.43,1350,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
32,32.01,2026-09-19 05:12:01,150.14,4812.6,1365,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
33,33.01,2026-09-19 05:12:02,150.17,4962.82,1365,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
34,34.01,2026-09-19 05:12:03,150.16,5113.01,1365,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
35,35.01,2026-09-19 05:12:04,150.16,5263.2,1365,72,150,30.0,30.0,30.0,666.03,19.98,54.47,6.61
