regime,target_ai,kernel_fma,true_ai,achieved_ai,power_cap_w,runtime_s,avg_power_w,peak_power_w,avg_clock_mhz,avg_temp_c,total_energy_j,perf_deg_pct,energy_saved_j,energy_saved_pct,achieved_bw_gbs,achieved_tflops
DRAM,0.0,0,0.0,0.0,250,80.01340625,198.1945423427992,208.846,2665.9058062880326,64.88602941176471,15858.22043300722,0.0,0.0,0.0,476.54071610110964,0.0
DRAM,0.0,0,0.0,0.0,240,80.046109375,210.94353609032092,213.395,2655.0,77.20208042623366,16885.20936183509,0.040872056987328875,-1026.9889288278682,-6.4760666757431276,476.3460236828531,0.0
DRAM,0.0,0,0.0,0.0,230,80.0678671875,213.25703646954537,214.698,2655.0,78.9563125237432,17075.036072843403,0.06806476570917486,-1216.8156398361825,-7.673090716430632,476.2165804013911,0.0
DRAM,0.0,0,0.0,0.0,220,80.0576171875,213.36951317122595,214.854,2655.0,79.31826241134752,17081.854804945247,0.05525441244416118,-1223.6343719380275,-7.716088807740124,476.27755173829314,0.0
DRAM,0.0,0,0.0,0.0,210,80.023359375,209.56720571428573,214.049,2626.998095238095,78.99365079365079,16770.27181608884,0.012439321691792848,-912.0513830816199,-5.75128455891104,476.4814450413593,0.0
DRAM,0.0,0,0.0,0.0,200,80.037359375,199.43412065906207,209.884,2589.161596958175,77.26679340937896,15962.180386826461,0.02993638956596545,-103.95995381924149,-0.6555587637239534,476.3980997100956,0.0
DRAM,0.0,0,0.0,0.0,190,80.0577890625,189.15875981758296,190.277,2541.8235368634405,75.33785153280972,15143.632092800159,0.05546922019707967,714.5883402070613,4.506106742719509,476.27652922436704,0.0
DRAM,0.0,0,0.0,0.0,180,80.0814453125,179.9257680020284,189.932,2479.6646805273836,73.319345841785,14408.715550563998,0.0850345781898243,1449.5048824432215,9.14040064310261,476.1358360013553,0.0
DRAM,0.0,0,0.0,0.0,170,80.00921875,169.23453937007872,179.925,2394.334518669037,71.61404622809246,13540.323280516115,-0.0052334979802171055,2317.897152491105,14.616376170851083,476.56565715515126,0.0
DRAM,0.0,0,0.0,0.0,160,80.0416640625,159.39648206817893,160.362,2278.475478393106,70.22278545178051,12758.359670445483,0.035316347377722934,3099.860762561737,19.54734313132451,476.3724787417053,0.0
DRAM,0.0,0,0.0,0.0,150,80.0483671875,149.88232690600023,159.977,2132.4774831916784,69.06558416846379,11997.835539088419,0.04369384974158841,3860.384893918801,24.34311535917243,476.33258805581426,0.0
DRAM,0.0,0,0.0,0.0,140,80.0189296875,143.77957407407408,149.944,2023.3371385083715,68.26319127346525,11505.087628332032,0.006903140059733026,4353.132804675188,27.450323465138617,476.5078220987545,0.0
DRAM,0.0,0,0.0,0.0,130,80.03509375,143.63899569020154,145.027,2030.1546457092154,68.99366206109774,11496.160486221126,0.027104832822932856,4362.059946786094,27.506616932294143,476.4115855373006,0.0
DRAM,0.0,0,0.0,0.0,120,80.0558515625,143.8281660119123,144.995,2020.6697503484984,69.2287416043594,11514.286308756256,0.05304775098233794,4343.934124250964,27.392317710564303,476.28805599920446,0.0
DRAM,0.0,0,0.0,0.0,110,80.0685546875,143.64727972116603,144.909,2007.5228136882129,69.9937896070976,11501.630072064792,0.06892399672084881,4356.590360942428,27.47212639240808,476.2124914191396,0.0
DRAM,0.0,0,0.0,0.0,100,80.070078125,143.94809719934102,144.716,2012.4217462932454,70.0,11525.935388696329,0.07082797453081824,4332.285044310891,27.31886003610906,476.20343085638774,0.0
DRAM,10.0,40,10.0,9.999999999999998,250,79.330625,245.99082647584976,249.862,2635.781369792998,82.13327370304114,19514.606008595707,0.0,0.0,0.0,471.06616860240297,4.71066168602403
DRAM,10.0,40,10.0,10.000000000000002,240,79.329296875,239.13273561013045,249.636,2593.206062931696,83.14671271424916,18970.23177574692,-0.0016741642965723003,544.374232848786,2.789573269421901,471.0740551560448,4.710740551560448
DRAM,10.0,40,10.0,10.0,230,79.3550390625,229.5259158567775,239.881,2565.5428388746805,82.02710997442455,18214.038018670664,0.030775078981171156,1300.5679899250426,6.664587485661633,470.9212422181712,4.709212422181712
DRAM,10.0,40,10.0,10.000000000000002,220,79.35365625,219.2547239483442,229.759,2540.646336785577,80.18731619997443,17398.66399538555,0.02903197850767647,2115.9420132101586,10.84286309586849,470.92944846613796,4.70929448466138
DRAM,10.0,40,10.0,10.000000000000002,210,79.3786796875,209.41142948472063,219.704,2484.6106635980054,78.4082598133231,16622.80278396913,0.06057520346021139,2891.8032246265757,14.818660563030619,470.78099205861145,4.707809920586115
DRAM,10.0,40,10.0,10.0,200,79.40903125,199.7350989516748,209.922,2426.7668115571464,77.05241626182563,15860.770714375385,0.0988347816495816,3653.835294220322,18.723592434358636,470.6010510811263,4.706010510811263
DRAM,10.0,40,10.0,10.0,190,79.4390078125,189.71692938322056,199.953,2344.7369429191676,75.39969352573107,15070.924635437168,0.13662165462580145,4443.681373158539,22.771053492964224,470.4234682762957,4.704234682762957
DRAM,10.0,40,10.0,10.000000000000002,180,79.4896328125,179.81978033205618,189.997,2247.032567049808,73.98812260536398,14293.808311019557,0.2004368584011651,5220.79769757615,26.753282619574883,470.12386709260846,4.701238670926085
DRAM,10.0,40,10.0,10.0,170,79.5614375,169.25399197145407,170.548,2128.000509748949,72.21460430737862,13466.090903862345,0.2909500586942393,6048.515104733362,30.99481025683603,469.69957740625284,4.696995774062529
DRAM,10.0,40,10.0,9.999999999999998,160,79.6341171875,159.9377403772623,169.988,1995.1586795819526,71.04040275299516,12736.500759906854,0.3825662378179828,6778.105248688853,34.733497800074794,469.2708965881509,4.692708965881509
DRAM,10.0,40,10.0,10.000000000000002,150,82.110125,149.55939807145506,151.336,748.0992706144146,69.2861911237483,12280.340870571934,3.5036910398726917,7234.265138023773,37.071028412447866,455.12016418905705,4.551201641890572
DRAM,10.0,40,10.0,10.0,140,98.5401953125,141.1819618871034,149.984,408.68974042027196,68.09353110836423,13912.0980989571,24.214570744274354,5602.507909638607,28.709305774202353,379.2358382594311,3.792358382594311
DRAM,10.0,40,10.0,10.0,130,100.1645546875,140.07110501265822,141.26,409.2501265822785,68.71037974683544,14030.15985817896,26.26215246318808,5484.446150416747,28.104314009726778,373.08580553443596,3.7308580553443593
