second,elapsed_s,timestamp,power_w,cum_energy_j,gpu_clock_mhz,gpu_temp_c,power_cap_w,target_ai,true_ai,achieved_ai,achieved_bw_gbs,achieved_tflops,perf_deg_pct,energy_saved_pct
1,1.0,2026-09-20 12:58:46,188.97,189.02,1845,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
2,2.0,2026-09-20 12:58:47,180.61,369.66,1815,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
3,3.0,2026-09-20 12:58:48,180.45,550.14,1785,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
4,4.0,2026-09-20 12:58:49,180.35,730.52,1785,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
5,5.0,2026-09-20 12:58:50,180.38,910.94,1785,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
6,6.0,2026-09-20 12:58:51,180.33,1091.31,1785,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
7,7.0,2026-09-20 12:58:52,180.32,1271.66,1770,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
8,8.0,2026-09-20 12:58:53,180.33,1452.02,1785,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
9,9.0,2026-09-20 12:58:54,180.26,1632.34,1785,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
10,10.0,2026-09-20 12:58:55,180.3,1812.69,1785,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
11,11.0,2026-09-20 12:58:56,180.31,1993.04,1785,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
12,12.0,2026-09-20 12:58:57,180.31,2173.4,1785,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
13,13.0,2026-09-20 12:58:58,180.31,2353.74,1785,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
14,14.0,2026-09-20 12:58:59,180.3,2534.1,1785,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
15,15.0,2026-09-20 12:59:00,180.21,2714.34,1770,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
16,16.0,2026-09-20 12:59:01,180.23,2894.6,1770,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
17,17.0,2026-09-20 12:59:02,180.22,3074.86,1770,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
18,18.0,2026-09-20 12:59:03,180.19,3255.08,1770,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
19,19.0,2026-09-20 12:59:04,180.16,3435.27,1770,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
20,20.0,2026-09-20 12:59:05,180.18,3615.49,1770,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
21,21.0,2026-09-20 12:59:06,180.19,3795.71,1770,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
22,22.0,2026-09-20 12:59:07,180.17,3975.91,1770,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
23,23.0,2026-09-20 12:59:08,180.16,4156.11,1770,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
24,24.01,2026-09-20 12:59:09,180.22,4336.36,1785,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
25,25.01,2026-09-20 12:59:10,180.22,4516.61,1770,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
26,26.01,2026-09-20 12:59:11,180.19,4696.84,1770,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
27,27.01,2026-09-20 12:59:12,180.14,4877.01,1770,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
28,28.01,2026-09-20 12:59:13,180.19,5057.23,1770,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
29,29.01,2026-09-20 12:59:14,180.14,5237.41,1755,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
30,30.01,2026-09-20 12:59:15,180.13,5417.57,1770,77,180,60.0,60.0,60.0,509.05,30.54,22.26,11.32
