second,elapsed_s,timestamp,power_w,cum_energy_j,gpu_clock_mhz,gpu_temp_c,power_cap_w,target_ai,true_ai,achieved_ai,achieved_bw_gbs,achieved_tflops,perf_deg_pct,energy_saved_pct
1,1.0,2026-09-20 12:49:18,242.92,242.95,2145,84,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
2,2.0,2026-09-20 12:49:19,240.06,483.08,2145,84,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
3,3.0,2026-09-20 12:49:20,239.82,722.95,2145,84,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
4,4.0,2026-09-20 12:49:21,240.13,963.14,2130,84,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
5,5.0,2026-09-20 12:49:22,239.68,1202.9,2130,84,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
6,6.0,2026-09-20 12:49:23,239.67,1442.63,2130,84,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
7,7.0,2026-09-20 12:49:24,239.59,1682.28,2130,84,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
8,8.0,2026-09-20 12:49:25,239.85,1922.2,2130,84,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
9,9.0,2026-09-20 12:49:26,239.74,2162.0,2115,84,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
10,10.0,2026-09-20 12:49:27,239.79,2401.84,2115,84,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
11,11.0,2026-09-20 12:49:28,239.72,2641.6,2115,84,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
12,12.0,2026-09-20 12:49:29,239.86,2881.53,2100,84,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
13,13.0,2026-09-20 12:49:30,239.78,3121.35,2115,84,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
14,14.0,2026-09-20 12:49:31,239.83,3361.25,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
15,15.0,2026-09-20 12:49:32,239.74,3601.04,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
16,16.0,2026-09-20 12:49:33,239.76,3840.84,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
17,17.0,2026-09-20 12:49:34,239.87,4080.75,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
18,18.0,2026-09-20 12:49:35,239.78,4320.57,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
19,19.0,2026-09-20 12:49:36,239.91,4560.53,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
20,20.0,2026-09-20 12:49:37,239.86,4800.48,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
21,21.0,2026-09-20 12:49:38,239.77,5040.3,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
22,22.01,2026-09-20 12:49:39,239.77,5280.14,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
23,23.01,2026-09-20 12:49:40,239.81,5520.02,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
24,24.01,2026-09-20 12:49:41,239.91,5759.99,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
25,25.01,2026-09-20 12:49:42,239.8,5999.85,2100,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
26,26.01,2026-09-20 12:49:43,239.82,6239.72,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
27,27.01,2026-09-20 12:49:44,239.76,6479.54,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
28,28.01,2026-09-20 12:49:45,239.88,6719.46,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
29,29.01,2026-09-20 12:49:46,239.77,6959.3,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
30,30.01,2026-09-20 12:49:47,239.72,7199.09,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
31,31.01,2026-09-20 12:49:48,239.73,7438.87,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
32,32.01,2026-09-20 12:49:49,239.8,7678.73,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
33,33.01,2026-09-20 12:49:50,239.8,7918.57,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
34,34.01,2026-09-20 12:49:51,239.63,8158.24,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
35,35.01,2026-09-20 12:49:52,239.75,8398.05,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
36,36.01,2026-09-20 12:49:53,239.77,8637.89,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
37,37.01,2026-09-20 12:49:54,239.76,8877.71,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
38,38.01,2026-09-20 12:49:55,239.82,9117.6,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
39,39.01,2026-09-20 12:49:56,239.71,9357.35,2130,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
40,40.01,2026-09-20 12:49:57,239.74,9597.13,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
41,41.01,2026-09-20 12:49:58,239.73,9836.91,2130,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
42,42.01,2026-09-20 12:49:59,239.71,10076.66,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
43,43.01,2026-09-20 12:50:00,239.74,10316.48,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
44,44.01,2026-09-20 12:50:01,239.76,10556.28,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
45,45.01,2026-09-20 12:50:02,239.76,10796.1,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
46,46.01,2026-09-20 12:50:03,239.8,11035.94,2115,85,240,60.0,60.0,60.0,609.28,36.56,2.15,1.59
