regime,target_ai,true_ai,achieved_ai,golden_cap_w,golden_runtime_s,golden_power_w,golden_energy_j,golden_deg_pct,golden_energy_saved_pct,achieved_bw_gbs,achieved_tflops,baseline_cap_w,baseline_runtime_s,baseline_power_w,baseline_energy_j,is_saturated
DRAM,0.0,0.0,0.0,100,81.6011171875,143.14797560975612,11681.0347328851,0.11249658062919554,32.52476977847063,476.532203190432,0.0,250,81.509421875,212.38758536585368,17311.589296597944,False
DRAM,10.0,10.0,10.000000000000002,150,84.28025,149.39471764705877,12591.024151973525,4.520558085169957,36.73921030274267,451.3957488989888,4.513957488989888,250,80.63509375,246.83250617283952,19903.362275794367,False
DRAM,20.0,20.0,20.000000000000004,170,82.0258984375,168.98291566265058,13860.975477817205,1.8156070817083814,30.48260369186912,460.3850816563023,9.207701633126048,250,80.5631875,247.4934197530864,19938.858780584105,False
DRAM,30.0,30.0,30.000000000000004,190,80.393875,188.9218024691358,15188.155772478394,0.8077815367186991,22.952270520316105,463.31349252225993,13.899404775667799,250,79.749671875,247.18168750000004,19712.658471633793,False
DRAM,40.0,40.0,40.0,200,82.3492578125,198.7805903614458,16369.434083795653,3.5933887465202874,16.751782791971788,449.74345668842454,17.989738267536982,250,79.4927734375,247.36091249999998,19663.40497465576,False
DRAM,50.0,50.0,50.0,220,81.7849609375,218.9035609756097,17903.01918346989,1.3855918706158654,10.29236782700376,457.0543739389678,22.85271869694839,250,80.6672421875,247.399987654321,19957.07472129562,False
DRAM,60.0,60.0,60.00000000000001,240,80.3646328125,238.02586419753084,19128.861176112558,-1.1731533673866146,4.871789825136777,456.88180556062935,27.412908333637763,250,81.318625,247.28043902439023,20108.505290859754,False
DRAM,70.0,70.0,70.0,250,82.0811640625,247.5229759036144,20316.973994382806,0.0,0.0,445.42386215869226,31.179670351108456,250,82.0811640625,247.5229759036144,20316.973994382806,True
DRAM,80.0,80.0,80.00000000000001,250,87.6679765625,247.6997386363636,21715.3348813101,0.0,0.0,411.459476091042,32.91675808728336,250,87.6679765625,247.6997386363636,21715.3348813101,True
DRAM,90.0,90.0,90.00000000000001,250,98.651265625,248.1378686868687,24479.114795449652,0.0,0.0,371.8538461076941,33.46684614969247,250,98.651265625,248.1378686868687,24479.114795449652,True
DRAM,100.0,100.0,100.00000000000001,250,96.5883828125,247.97234020618555,23951.247322746534,0.0,0.0,345.97321203107805,34.59732120310781,250,96.5883828125,247.97234020618555,23951.247322746534,True
DRAM,110.0,110.0,110.00000000000003,250,96.9556328125,248.0005979381443,24045.05491097116,0.0,0.0,321.82696868971556,35.40096655586872,250,96.9556328125,248.0005979381443,24045.05491097116,True
DRAM,120.0,120.0,120.00000000000001,250,93.777375,248.05452127659578,23261.901862200804,0.0,0.0,301.6133382685109,36.193600592221316,250,93.777375,248.05452127659578,23261.901862200804,True
DRAM,130.0,130.0,129.99999999999997,250,95.3276328125,248.10552083333334,23651.31198875407,0.0,0.0,285.7656918783777,37.149539944189094,250,95.3276328125,248.10552083333334,23651.31198875407,True
