regime,ai_min,ai_max,golden_cap_w,expected_deg_pct,expected_energy_saved_pct,notes
DRAM,0.0,5.0,130,0.03,27.51,Measured point at AI=0.0
DRAM,5.0,15.0,150,3.5,37.07,Measured point at AI=10.0
DRAM,15.0,25.0,170,1.28,30.79,Measured point at AI=20.0
DRAM,25.0,35.0,190,0.3,23.59,Measured point at AI=30.0
DRAM,35.0,45.0,200,2.65,17.39,Measured point at AI=40.0
DRAM,45.0,55.0,220,0.32,11.39,Measured point at AI=50.0
DRAM,55.0,65.0,240,3.3,0.34,Measured point at AI=60.0
DRAM,65.0,999999.0,250,0.0,0.0,Saturated / Clamped up to infinity (last recorded AI=130.0)
